family_id	n_members	n_detected	sensitivity	sens_pct	n_known_copies	n_candidates	precision	members
ID_8	9	9	9/9	100%	14	1	100%	PMS2P4:Y;PMS2P7:Y;PMS2P11:Y;PMS2P6:Y;PMS2P5:Y;PMS2P10:Y;AC211486.3:Y;PMS2P2:Y;PMS2P1:Y
ID_12	4	3	3/4	75%	7	0	100%	POM121:Y;POM121C:Y;AC004980.1:Y;POMZP3:N
ID_14	7	4	4/7	57%	7	0	100%	AC005562.2:N;LRRC37BP1:N;LRRC37B:Y;AC090616.5:N;LRRC37A:Y;LRRC37A2:Y;LRRC37A3:Y
ID_22	6	6	6/6	100%	10	1	100%	AC239859.4:Y;FP700107.1:Y;AC006453.1:Y;AC027612.2:Y;AL356585.3:Y;BAGE2:Y
ID_24	3	3	3/3	100%	3	0	100%	AC239859.5:Y;LSP1P5:Y;LSP1P4:Y
ID_26	2	0	0/2	0%	0	0	NA	AC006453.4:N;SLC9B1P1:N
ID_35	10	9	9/10	90%	17	3	100%	AL669831.1:Y;AL592148.2:Y;GTF2IP20:Y;LINC01347:Y;FAM157A:Y;AC110079.1:Y;GTF2IP12:Y;AC008443.6:N;FAM157B:Y;AL133216.2:Y
ID_43	4	2	2/4	50%	2	0	100%	TRIM64DP:Y;TRIM64B:N;TRIM64:N;TRIM64EP:Y
ID_49	3	3	3/3	100%	3	0	100%	AC009533.1:Y;DDX12P:Y;DDX11:Y
ID_63	8	4	4/8	50%	5	0	100%	ANAPC1P1:N;ANAPC1P2:Y;ANAPC1P3:N;AC083899.1:Y;ANAPC1P4:Y;ANAPC1P5:N;AC097527.1:N;ANAPC1:Y
ID_65	9	7	7/9	78%	8	0	100%	FAR2P1:Y;CYP4F27P:Y;FAR2P2:Y;CYP4F62P:Y;CYP4F30P:Y;FAR2P3:Y;FAR2P4:Y;CR383656.5:N;AP000534.2:N
ID_68	4	4	4/4	100%	4	1	100%	DNM1P28:Y;AC019322.3:Y;DNM1P50:Y;DNM1P32:Y
ID_71	5	5	5/5	100%	5	0	100%	AC023310.1:Y;HERC2P7:Y;AC242376.1:Y;AC091304.3:Y;HERC2P11:Y
ID_78	5	4	4/5	80%	6	1	100%	GOLGA8A:Y;UBE2Q2P2:Y;AC243562.1:N;UBE2Q2P1:Y;AC044860.1:Y
ID_88	4	4	4/4	100%	4	0	100%	GOLGA6L10:Y;GOLGA6L9:Y;GOLGA6L4:Y;GOLGA6L5P:Y
ID_92	2	0	0/2	0%	0	0	NA	AC243829.7:N;AC053481.4:N
ID_104	3	3	3/3	100%	3	1	100%	AL669942.1:Y;CYP4F60P:Y;FAM95B1:Y
ID_113	16	16	16/16	100%	21	2	100%	GOLGA8CP:Y;GOLGA8EP:Y;GOLGA8IP:Y;GOLGA8DP:Y;GOLGA8S:Y;GOLGA8F:Y;GOLGA8G:Y;GOLGA8M:Y;GOLGA8J:Y;GOLGA8T:Y;GOLGA8R:Y;GOLGA8Q:Y;GOLGA8H:Y;GOLGA8K:Y;GOLGA8O:Y;GOLGA8N:Y
ID_116	6	6	6/6	100%	10	2	100%	GOLGA6L6:Y;GOLGA6L22:Y;GOLGA6L1:Y;AC100756.3:Y;AC091304.1:Y;AC138749.1:Y
ID_127	3	0	0/3	0%	0	0	NA	TCAF2:N;AC099548.2:N;TCAF2C:N
ID_131	6	5	5/6	83%	8	2	100%	AMY2A:Y;AMY1A:Y;AC105272.1:N;AMY1B:Y;AMYP1:Y;AMY1C:Y
ID_141	1	1	1/1	100%	1	0	100%	AC119751.3:Y
ID_142	1	1	1/1	100%	1	0	100%	CR381670.1:Y
